nivel,pai,filho,quantidade,quantidade_acumulada
1,I3001192,G1004391,2.0,2.0
1,I3001192,G1009054,8.0,8.0
1,I3001192,I2002653,1.0,1.0
2,I2002653,G1007348,1.0,1.0
2,I2002653,G1009096,1.0,1.0
2,I2002653,G1009097,1.0,1.0
2,I2002653,G1009099,1.0,1.0
2,I2002653,G1009196,1.0,1.0
2,I2002653,G1009197,1.0,1.0
2,I2002653,G1009201,1.0,1.0
2,I2002653,G1009204,1.0,1.0
2,I2002653,G1009205,2.0,2.0
2,I2002653,G1009222,1.0,1.0
2,I2002653,G3003675,2.0,2.0
2,I2002653,G3004406,4.0,4.0
2,I2002653,G3006749,1.0,1.0
2,I2002653,G3008964,1.0,1.0
2,I2002653,I1007664,4.0,4.0
3,I1007664,G1009172,1.332,5.328
2,I2002653,I1033835,1.0,1.0
3,I1033835,G1022563,1.0,1.0
2,I2002653,I1041320,1.0,1.0
3,I1041320,G2005887,5.34,5.34
1,I3001192,I2002681,2.0,2.0
2,I2002681,G1004651,4.0,8.0
2,I2002681,G1004660,4.0,8.0
2,I2002681,G1009680,2.0,4.0
2,I2002681,G1020286,4.0,8.0
2,I2002681,G3000951,6.0,12.0
2,I2002681,G3001012,2.0,4.0
2,I2002681,G3001107,4.0,8.0
2,I2002681,I1006862,2.0,4.0
3,I1006862,G2005931,3.22,12.88
2,I2002681,I1006863,2.0,4.0
3,I1006863,G2005931,1.2,4.8
1,I3001192,I2003889,1.0,1.0
2,I2003889,G1009210,1.0,1.0
2,I2003889,G3003160,4.0,4.0
2,I2003889,G3007835,4.0,4.0
2,I2003889,I1007213,4.0,4.0
3,I1007213,G2005882,0.6,2.4
3,I1007213,G2005882,0.9,3.6
2,I2003889,I1008709,1.0,1.0
3,I1008709,G2005798,0.12,0.12
2,I2003889,I1011114,1.0,1.0
3,I1011114,G2005932,2.7,2.7
2,I2003889,I1011115,2.0,2.0
3,I1011115,G2005932,1.98,3.96
2,I2003889,I1011116,4.0,4.0
3,I1011116,G2005932,0.24,0.96
2,I2003889,I1011117,1.0,1.0
3,I1011117,G2005932,0.9,0.9
1,I3001192,I2005361,1.0,1.0
2,I2005361,G1003707,1.0,1.0
2,I2005361,G1004660,6.0,6.0
2,I2005361,G1006552,1.0,1.0
2,I2005361,G1006967,1.0,1.0
2,I2005361,G1007056,1.0,1.0
2,I2005361,G1007307,2.0,2.0
2,I2005361,G1009097,1.0,1.0
2,I2005361,G1009132,1.0,1.0
2,I2005361,G1009196,1.0,1.0
2,I2005361,G1009199,1.0,1.0
2,I2005361,G1009218,1.0,1.0
2,I2005361,G1012130,2.0,2.0
2,I2005361,G1012242,1.0,1.0
2,I2005361,G1013898,1.0,1.0
2,I2005361,G3003160,4.0,4.0
2,I2005361,G3004330,4.0,4.0
2,I2005361,G3004331,2.0,2.0
2,I2005361,G3007835,4.0,4.0
2,I2005361,I1025272,1.0,1.0
3,I1025272,G1017788,1.0,1.0
2,I2005361,I1026077,1.0,1.0
3,I1026077,G2005932,0.79,0.79
2,I2005361,I2012442,1.0,1.0
3,I2012442,I1025269,1.0,1.0
4,I1025269,G2005931,0.699,0.699
3,I2012442,I1025270,1.0,1.0
4,I1025270,G2005931,3.35,3.35
1,I3001192,I2007257,1.0,1.0
2,I2007257,G1000392,1.0,1.0
2,I2007257,G1007348,1.0,1.0
2,I2007257,G1009129,1.0,1.0
2,I2007257,G1014176,1.0,1.0
2,I2007257,G1019036,1.0,1.0
2,I2007257,I2007255,1.0,1.0
3,I2007255,G1007348,1.0,1.0
3,I2007255,G1009129,7.0,7.0
3,I2007255,G1009196,1.0,1.0
3,I2007255,G1009201,7.0,7.0
3,I2007255,G1013235,1.0,1.0
3,I2007255,G3002236,4.0,4.0
3,I2007255,G3007835,4.0,4.0
3,I2007255,G3016892,1.0,1.0
3,I2007255,I1007325,7.0,7.0
4,I1007325,G2000069,0.28,1.9600000000000002
4,I1007325,G2000069,0.48,3.36
4,I1007325,G2000069,0.16,1.12
4,I1007325,G2000069,0.24,1.68
3,I2007255,I1008449,1.0,1.0
4,I1008449,G2005789,1.28,1.28
3,I2007255,I1008450,1.0,1.0
4,I1008450,G2005931,0.22,0.22
2,I2007257,I2008026,1.0,1.0
3,I2008026,G1018185,1.0,1.0
3,I2008026,I1025128,1.0,1.0
4,I1025128,G1018186,0.2,0.2
1,I3001192,I2010998,3.0,3.0
2,I2010998,G1003417,6.0,18.0
2,I2010998,G1004237,6.0,18.0
2,I2010998,G1006118,6.0,18.0
2,I2010998,G1007287,3.0,9.0
2,I2010998,G1009174,3.0,9.0
2,I2010998,G1009195,3.0,9.0
2,I2010998,G1009201,3.0,9.0
2,I2010998,G1009849,3.0,9.0
2,I2010998,G1015398,3.0,9.0
2,I2010998,G1018184,3.0,9.0
2,I2010998,G1018205,3.0,9.0
2,I2010998,G1022571,3.0,9.0
2,I2010998,G3002307,12.0,36.0
2,I2010998,G3006152,3.0,9.0
2,I2010998,G3007837,12.0,36.0
2,I2010998,I1007167,3.0,9.0
3,I1007167,G2005931,39.78,358.02
2,I2010998,I1007206,3.0,9.0
3,I1007206,G2000166,1.11,9.99
2,I2010998,I1007207,3.0,9.0
3,I1007207,G2005756,1.29,11.61
2,I2010998,I1007208,3.0,9.0
3,I1007208,G2000052,0.24,2.16
2,I2010998,I1007322,3.0,9.0
3,I1007322,G2005931,0.21,1.89
2,I2010998,I1007323,3.0,9.0
3,I1007323,G2005931,171.06,1539.54
2,I2010998,I1007325,12.0,36.0
3,I1007325,G2000069,0.28,10.080000000000002
3,I1007325,G2000069,0.48,17.28
3,I1007325,G2000069,0.16,5.76
3,I1007325,G2000069,0.24,8.64
2,I2010998,I1007326,12.0,36.0
3,I1007326,G2005887,5.4,194.4
2,I2010998,I1007328,3.0,9.0
3,I1007328,G2000073,0.48,4.32
3,I1007328,G2000073,0.32,2.88
3,I1007328,G2000073,0.16,1.44
2,I2010998,I1008714,3.0,9.0
3,I1008714,G2000183,0.39,3.5100000000000002
3,I1008714,G2000183,0.26,2.34
3,I1008714,G2000183,0.13,1.17
2,I2010998,I1008838,3.0,9.0
3,I1008838,G1012232,5.235,47.115
3,I1008838,G1012232,3.49,31.410000000000004
2,I2010998,I1012022,3.0,9.0
3,I1012022,G2006323,0.15,1.3499999999999999
2,I2010998,I1022658,3.0,9.0
3,I1022658,G2005932,0.27,2.43
2,I2010998,I1030356,3.0,9.0
3,I1030356,G2005931,39.99,359.91
2,I2010998,I1033122,3.0,9.0
3,I1033122,G2005931,22.47,202.23
2,I2010998,I1034636,3.0,9.0
3,I1034636,G2000380,0.96,8.64
2,I2010998,I2010009,3.0,9.0
3,I2010009,G1007311,3.0,27.0
3,I2010009,G1009132,3.0,27.0
3,I2010009,G1009199,3.0,27.0
3,I2010009,G1012130,3.0,27.0
1,I3001192,I2011001,1.0,1.0
2,I2011001,G1000025,4.0,4.0
2,I2011001,I1000227,4.0,4.0
3,I1000227,G2005882,2.48,9.92
2,I2011001,I1011680,4.0,4.0
3,I1011680,G2005932,1.64,6.56
2,I2011001,I2013558,16.0,16.0
3,I2013558,G3002236,16.0,256.0
3,I2013558,G3007835,16.0,256.0
3,I2013558,G3002236,4.0,64.0
3,I2013558,G3007835,4.0,64.0
3,I2013558,G3002236,48.0,768.0
3,I2013558,G3007835,48.0,768.0
1,I3001192,I2011002,1.0,1.0
2,I2011002,I1016511,2.0,2.0
3,I1016511,G2005932,2.76,5.52
2,I2011002,I2013558,4.0,4.0
3,I2013558,G3002236,16.0,64.0
3,I2013558,G3007835,16.0,64.0
3,I2013558,G3002236,4.0,16.0
3,I2013558,G3007835,4.0,16.0
3,I2013558,G3002236,48.0,192.0
3,I2013558,G3007835,48.0,192.0
1,I3001192,I2011007,1.0,1.0
2,I2011007,G1006660,14.0,14.0
2,I2011007,G1009282,1.0,1.0
2,I2011007,G1021155,2.0,2.0
2,I2011007,G3000325,12.0,12.0
2,I2011007,G3000951,24.0,24.0
2,I2011007,G3001012,12.0,12.0
2,I2011007,G3001107,12.0,12.0
2,I2011007,I2002650,1.0,1.0
3,I2002650,G1003384,1.0,1.0
3,I2002650,G1004651,4.0,4.0
3,I2002650,G1004660,4.0,4.0
3,I2002650,G1009283,1.0,1.0
3,I2002650,G3000308,1.0,1.0
3,I2002650,G3002424,2.0,2.0
3,I2002650,I1007592,1.0,1.0
4,I1007592,G2005882,0.23,0.23
3,I2002650,I1007593,1.0,1.0
4,I1007593,G2005882,0.21,0.21
